年月日,平均気温
2023/5/1,15.907142857142855
2023/5/2,14.442857142857145
2023/5/3,15.75
2023/5/4,18.45
2023/5/5,19.428571428571427
2023/5/6,22.32857142857143
2023/5/7,14.57142857142857
2023/5/8,11.7
2023/5/9,12.62857142857143
2023/5/10,15.292857142857141
2023/5/11,15.114285714285716
2023/5/12,14.535714285714286
2023/5/13,15.014285714285716
2023/5/14,16.77142857142857
2023/5/15,16.392857142857142
2023/5/16,17.607142857142854
2023/5/17,21.192857142857143
2023/5/18,23.50714285714286
2023/5/19,20.235714285714288
2023/5/20,18.235714285714288
2023/5/21,19.985714285714288
2023/5/22,20.064285714285717
2023/5/23,13.307142857142853
2023/5/24,15.821428571428571
2023/5/25,16.87142857142857
2023/5/26,18.349999999999998
2023/5/27,20.0
2023/5/28,20.357142857142854
2023/5/29,19.349999999999998
2023/5/30,21.335714285714285
2023/5/31,18.20714285714286
2023/6/1,19.29285714285714
2023/6/2,20.357142857142858
2023/6/3,19.221428571428568
2023/6/4,20.114285714285717
2023/6/5,22.1
2023/6/6,20.342857142857145
2023/6/7,21.314285714285713
2023/6/8,21.992857142857137
2023/6/9,20.292857142857144
2023/6/10,22.007142857142856
2023/6/11,20.292857142857144
2023/6/12,20.157142857142855
2023/6/13,22.38571428571428
2023/6/14,21.692857142857147
2023/6/15,21.02857142857143
2023/6/16,22.835714285714285
2023/6/17,23.61428571428571
2023/6/18,24.857142857142858
2023/6/19,21.42142857142857
2023/6/20,21.007142857142856
2023/6/21,20.92142857142857
2023/6/22,18.400000000000002
2023/6/23,19.87142857142857
2023/6/24,23.16428571428571
2023/6/25,23.928571428571427
2023/6/26,24.22142857142857
2023/6/27,24.521428571428572
2023/6/28,25.449999999999992
2023/6/29,25.164285714285715
2023/6/30,25.407142857142862
2023/7/1,25.828571428571426
2023/7/2,25.185714285714283
2023/7/3,25.53571428571428
2023/7/4,24.20714285714286
2023/7/5,23.935714285714287
2023/7/6,24.942857142857143
2023/7/7,27.414285714285718
2023/7/8,25.0
2023/7/9,26.985714285714288
2023/7/10,28.099999999999998
2023/7/11,27.550000000000004
2023/7/12,27.785714285714285
2023/7/13,26.37142857142857
2023/7/14,24.821428571428573
2023/7/15,26.521428571428572
2023/7/16,29.514285714285712
2023/7/17,29.40714285714285
2023/7/18,28.90714285714285
2023/7/19,26.38571428571429
2023/7/20,25.63571428571429
2023/7/21,24.871428571428574
2023/7/22,25.178571428571427
2023/7/23,25.442857142857143
2023/7/24,26.692857142857143
2023/7/25,28.142857142857146
2023/7/26,28.92142857142857
2023/7/27,29.192857142857143
2023/7/28,28.978571428571428
2023/7/29,28.878571428571426
2023/7/30,29.371428571428574
2023/7/31,29.128571428571433
2023/8/1,25.007142857142856
2023/8/2,27.985714285714284
2023/8/3,28.664285714285715
2023/8/4,28.521428571428576
2023/8/5,29.107142857142854
2023/8/6,28.42142857142857
2023/8/7,28.592857142857138
2023/8/8,28.121428571428574
2023/8/9,27.49285714285714
2023/8/10,28.028571428571432
2023/8/11,27.571428571428573
2023/8/12,27.62142857142857
2023/8/13,27.53571428571428
2023/8/14,27.87142857142857
2023/8/15,27.778571428571432
2023/8/16,28.535714285714285
2023/8/17,28.88571428571429
2023/8/18,28.664285714285715
2023/8/19,28.478571428571428
2023/8/20,28.38571428571429
2023/8/21,28.585714285714285
2023/8/22,28.571428571428577
2023/8/23,28.178571428571427
2023/8/24,28.814285714285713
2023/8/25,28.60714285714286
2023/8/26,28.0
2023/8/27,26.571428571428577
2023/8/28,28.457142857142856
2023/8/29,28.478571428571428
2023/8/30,28.17142857142857
2023/8/31,28.23571428571429
2023/9/1,28.214285714285715
2023/9/2,27.928571428571427
2023/9/3,27.307142857142853
2023/9/4,25.71428571428572
2023/9/5,28.307142857142853
2023/9/6,25.564285714285717
2023/9/7,25.307142857142853
2023/9/8,22.764285714285712
2023/9/9,25.8
2023/9/10,27.164285714285715
2023/9/11,27.142857142857142
2023/9/12,26.564285714285717
2023/9/13,26.150000000000002
2023/9/14,27.364285714285717
2023/9/15,26.642857142857142
2023/9/16,27.12142857142857
2023/9/17,27.65
2023/9/18,27.735714285714284
2023/9/19,27.207142857142852
2023/9/20,25.849999999999998
2023/9/21,25.571428571428566
2023/9/22,24.29285714285714
2023/9/23,21.35
2023/9/24,20.900000000000002
2023/9/25,20.935714285714283
2023/9/26,22.29285714285714
2023/9/27,23.021428571428572
2023/9/28,24.978571428571428
2023/9/29,24.57857142857143
2023/9/30,23.757142857142856
