年月日,最低気温
2023/5/1,11.228571428571428
2023/5/2,8.200000000000001
2023/5/3,7.142857142857143
2023/5/4,10.414285714285715
2023/5/5,11.949999999999998
2023/5/6,17.664285714285718
2023/5/7,10.87857142857143
2023/5/8,7.9142857142857155
2023/5/9,6.721428571428573
2023/5/10,7.042857142857144
2023/5/11,10.25
2023/5/12,8.042857142857143
2023/5/13,12.357142857142858
2023/5/14,13.628571428571428
2023/5/15,14.107142857142858
2023/5/16,12.064285714285713
2023/5/17,11.985714285714286
2023/5/18,14.571428571428571
2023/5/19,16.635714285714283
2023/5/20,15.864285714285714
2023/5/21,15.135714285714284
2023/5/22,13.835714285714287
2023/5/23,12.364285714285716
2023/5/24,10.457142857142856
2023/5/25,9.742857142857144
2023/5/26,12.950000000000001
2023/5/27,13.778571428571428
2023/5/28,15.785714285714283
2023/5/29,17.65714285714286
2023/5/30,18.22142857142857
2023/5/31,13.292857142857144
2023/6/1,11.357142857142858
2023/6/2,18.685714285714287
2023/6/3,14.364285714285714
2023/6/4,12.47857142857143
2023/6/5,15.807142857142859
2023/6/6,15.142857142857142
2023/6/7,16.542857142857144
2023/6/8,17.935714285714283
2023/6/9,17.892857142857142
2023/6/10,18.921428571428574
2023/6/11,19.392857142857142
2023/6/12,19.22142857142857
2023/6/13,19.349999999999998
2023/6/14,20.264285714285712
2023/6/15,19.70714285714286
2023/6/16,18.135714285714283
2023/6/17,15.807142857142855
2023/6/18,18.27857142857143
2023/6/19,18.035714285714285
2023/6/20,17.228571428571428
2023/6/21,16.378571428571426
2023/6/22,16.214285714285715
2023/6/23,16.57857142857143
2023/6/24,19.735714285714288
2023/6/25,19.764285714285712
2023/6/26,21.035714285714285
2023/6/27,21.67142857142857
2023/6/28,21.49285714285714
2023/6/29,21.228571428571428
2023/6/30,21.62142857142857
2023/7/1,22.97142857142857
2023/7/2,21.228571428571428
2023/7/3,21.314285714285713
2023/7/4,21.15714285714285
2023/7/5,20.578571428571426
2023/7/6,21.678571428571427
2023/7/7,21.435714285714287
2023/7/8,22.792857142857144
2023/7/9,23.271428571428576
2023/7/10,23.771428571428572
2023/7/11,23.228571428571428
2023/7/12,22.814285714285713
2023/7/13,22.642857142857142
2023/7/14,22.392857142857142
2023/7/15,23.7
2023/7/16,24.257142857142856
2023/7/17,24.62142857142857
2023/7/18,24.021428571428572
2023/7/19,23.77857142857143
2023/7/20,22.400000000000002
2023/7/21,22.214285714285715
2023/7/22,21.392857142857142
2023/7/23,20.735714285714288
2023/7/24,20.571428571428573
2023/7/25,21.8
2023/7/26,22.664285714285715
2023/7/27,24.357142857142858
2023/7/28,24.035714285714285
2023/7/29,23.72857142857143
2023/7/30,23.392857142857146
2023/7/31,24.685714285714283
2023/8/1,22.53571428571428
2023/8/2,22.235714285714288
2023/8/3,24.228571428571428
2023/8/4,23.65714285714285
2023/8/5,24.20714285714286
2023/8/6,25.157142857142862
2023/8/7,24.849999999999998
2023/8/8,24.892857142857146
2023/8/9,25.514285714285716
2023/8/10,24.857142857142858
2023/8/11,24.428571428571427
2023/8/12,24.157142857142862
2023/8/13,24.5
2023/8/14,25.521428571428572
2023/8/15,24.85
2023/8/16,25.87857142857143
2023/8/17,25.607142857142858
2023/8/18,24.892857142857142
2023/8/19,24.935714285714287
2023/8/20,24.492857142857144
2023/8/21,24.74285714285714
2023/8/22,25.342857142857145
2023/8/23,26.07857142857143
2023/8/24,25.242857142857144
2023/8/25,24.335714285714285
2023/8/26,24.12857142857143
2023/8/27,23.792857142857144
2023/8/28,23.914285714285715
2023/8/29,24.300000000000004
2023/8/30,23.199999999999996
2023/8/31,24.249999999999996
2023/9/1,23.571428571428573
2023/9/2,24.014285714285712
2023/9/3,23.15
2023/9/4,24.150000000000002
2023/9/5,24.49285714285714
2023/9/6,22.607142857142858
2023/9/7,21.464285714285715
2023/9/8,20.7
2023/9/9,22.650000000000002
2023/9/10,23.057142857142853
2023/9/11,23.62857142857143
2023/9/12,22.671428571428578
2023/9/13,21.007142857142856
2023/9/14,23.214285714285715
2023/9/15,23.842857142857145
2023/9/16,23.821428571428573
2023/9/17,24.357142857142858
2023/9/18,23.985714285714288
2023/9/19,22.764285714285712
2023/9/20,22.52142857142857
2023/9/21,21.900000000000002
2023/9/22,21.45
2023/9/23,18.785714285714285
2023/9/24,17.064285714285713
2023/9/25,15.4
2023/9/26,18.035714285714285
2023/9/27,20.292857142857144
2023/9/28,21.528571428571432
2023/9/29,21.30714285714286
2023/9/30,21.121428571428567
