2025/6/1,1:00,13.8,15.3
2025/6/1,2:00,13.6,14.7
2025/6/1,3:00,13.0,13.2
2025/6/1,4:00,13.3,14.3
2025/6/1,5:00,13.6,15.0
2025/6/1,6:00,14.5,16.7
2025/6/1,7:00,16.1,22.8
2025/6/1,8:00,16.0,23.0
2025/6/1,9:00,15.7,21.7
2025/6/1,10:00,15.6,19.5
2025/6/1,11:00,16.9,26.1
2025/6/1,12:00,18.8,33.8
2025/6/1,13:00,18.0,26.3
2025/6/1,14:00,19.9,36.3
2025/6/1,15:00,17.1,26.6
2025/6/1,16:00,13.3,15.1
2025/6/1,17:00,13.1,13.8
2025/6/1,18:00,13.4,13.9
2025/6/1,19:00,13.2,13.3
2025/6/1,20:00,13.4,13.0
2025/6/1,21:00,13.7,13.7
2025/6/1,22:00,14.2,14.6
2025/6/1,23:00,13.7,13.9
2025/6/1,24:00,13.6,13.9
2025/6/2,1:00,13.4,13.2
2025/6/2,2:00,13.9,14.1
2025/6/2,3:00,13.7,13.9
2025/6/2,4:00,13.4,12.5
2025/6/2,5:00,14.3,14.9
2025/6/2,6:00,15.1,17.7
2025/6/2,7:00,17.6,27.3
2025/6/2,8:00,19.3,32.2
2025/6/2,9:00,20.6,33.9
2025/6/2,10:00,22.0,37.6
2025/6/2,11:00,21.2,35.5
2025/6/2,12:00,20.3,29.6
2025/6/2,13:00,21.7,32.5
2025/6/2,14:00,21.8,33.4
2025/6/2,15:00,20.6,27.3
2025/6/2,16:00,20.5,26.2
2025/6/2,17:00,19.0,22.1
2025/6/2,18:00,19.1,20.9
2025/6/2,19:00,18.8,19.8
2025/6/2,20:00,18.7,19.4
2025/6/2,21:00,18.8,19.2
2025/6/2,22:00,18.8,19.1
2025/6/2,23:00,18.8,18.9
2025/6/2,24:00,18.9,19.2
2025/6/3,1:00,18.3,17.7
2025/6/3,2:00,18.2,18.1
2025/6/3,3:00,18.3,18.1
2025/6/3,4:00,17.9,17.4
2025/6/3,5:00,17.8,17.6
2025/6/3,6:00,18.1,19.1
2025/6/3,7:00,18.7,20.8
2025/6/3,8:00,19.8,22.8
2025/6/3,9:00,19.7,21.5
2025/6/3,10:00,19.8,21.4
2025/6/3,11:00,18.0,19.0
2025/6/3,12:00,17.7,18.6
2025/6/3,13:00,18.0,18.9
2025/6/3,14:00,18.2,19.3
2025/6/3,15:00,17.8,17.8
2025/6/3,16:00,17.6,17.8
2025/6/3,17:00,17.4,17.6
2025/6/3,18:00,17.5,17.3
2025/6/3,19:00,17.5,17.2
2025/6/3,20:00,17.5,17.2
2025/6/3,21:00,17.6,17.3
2025/6/3,22:00,17.8,17.5
2025/6/3,23:00,17.5,17.2
2025/6/3,24:00,17.4,16.8
2025/6/4,1:00,17.1,16.4
2025/6/4,2:00,17.1,16.6
2025/6/4,3:00,16.8,15.8
2025/6/4,4:00,16.6,15.9
2025/6/4,5:00,17.2,17.9
2025/6/4,6:00,19.7,27.3
2025/6/4,7:00,21.4,31.3
2025/6/4,8:00,22.9,37.1
2025/6/4,9:00,24.4,39.7
2025/6/4,10:00,25.7,41.0
2025/6/4,11:00,26.0,45.8
2025/6/4,12:00,24.0,36.1
2025/6/4,13:00,25.8,40.0
2025/6/4,14:00,25.2,40.0
2025/6/4,15:00,22.6,31.4
2025/6/4,16:00,22.1,29.3
2025/6/4,17:00,21.7,27.3
2025/6/4,18:00,20.5,21.8
2025/6/4,19:00,19.5,19.2
2025/6/4,20:00,19.3,19.1
2025/6/4,21:00,19.4,19.6
2025/6/4,22:00,19.4,19.1
2025/6/4,23:00,19.2,19.3
2025/6/4,24:00,19.2,19.0
2025/6/5,1:00,17.2,17.7
2025/6/5,2:00,17.1,17.9
2025/6/5,3:00,16.6,17.2
2025/6/5,4:00,16.6,16.4
2025/6/5,5:00,16.6,16.8
2025/6/5,6:00,17.2,18.8
2025/6/5,7:00,19.9,28.7
2025/6/5,8:00,21.8,36.7
2025/6/5,9:00,22.3,37.5
2025/6/5,10:00,22.0,37.8
2025/6/5,11:00,20.1,38.2
2025/6/5,12:00,20.5,41.1
2025/6/5,13:00,20.9,41.1
2025/6/5,14:00,21.2,40.2
2025/6/5,15:00,20.8,41.1
2025/6/5,16:00,23.4,38.8
2025/6/5,17:00,22.8,34.0
2025/6/5,18:00,20.7,25.8
2025/6/5,19:00,19.9,23.1
2025/6/5,20:00,19.4,21.2
2025/6/5,21:00,19.0,19.0
2025/6/5,22:00,18.4,17.8
2025/6/5,23:00,17.5,16.3
2025/6/5,24:00,17.0,15.6
2025/6/6,1:00,17.1,15.9
2025/6/6,2:00,16.6,15.5
2025/6/6,3:00,15.8,14.9
2025/6/6,4:00,15.0,14.2
2025/6/6,5:00,15.2,15.3
2025/6/6,6:00,17.0,22.6
2025/6/6,7:00,18.8,27.1
2025/6/6,8:00,22.1,33.8
2025/6/6,9:00,23.5,34.8
2025/6/6,10:00,24.0,37.8
2025/6/6,11:00,23.9,38.9
2025/6/6,12:00,21.9,37.3
2025/6/6,13:00,20.2,34.1
2025/6/6,14:00,20.8,34.2
2025/6/6,15:00,22.5,37.7
2025/6/6,16:00,22.3,35.3
2025/6/6,17:00,20.0,28.6
2025/6/6,18:00,19.5,25.5
2025/6/6,19:00,19.8,23.4
2025/6/6,20:00,20.3,22.1
2025/6/6,21:00,20.2,21.2
2025/6/6,22:00,19.9,20.3
2025/6/6,23:00,19.8,20.5
2025/6/6,24:00,19.7,20.0
2025/6/7,1:00,19.3,19.5
2025/6/7,2:00,19.2,19.1
2025/6/7,3:00,19.1,19.0
2025/6/7,4:00,18.9,18.4
2025/6/7,5:00,18.8,18.9
2025/6/7,6:00,19.2,19.8
2025/6/7,7:00,20.5,25.3
2025/6/7,8:00,23.9,36.9
2025/6/7,9:00,24.2,39.9
2025/6/7,10:00,24.0,39.3
2025/6/7,11:00,25.4,42.3
2025/6/7,12:00,25.3,40.9
2025/6/7,13:00,24.8,40.9
2025/6/7,14:00,22.9,36.7
2025/6/7,15:00,23.5,39.2
2025/6/7,16:00,23.9,38.4
2025/6/7,17:00,22.0,29.9
2025/6/7,18:00,20.9,26.2
